date,country,language-group,pseudo-user-id
2020-02-27,TR,Turkish,5034066010306148842
2020-03-17,TR,Turkish,5858092041032357093
2020-03-15,TR,Turkish,3041743636205642949
2020-03-10,TR,Turkish,-8279870384036968535
2020-03-08,TR,No-Visa,5618581641215741860
2020-03-14,TR,Turkish,6525267328229167242
2020-03-10,TR,Turkish,-7789953480118399199
2020-02-25,TR,Turkish,7882422364279393804
2020-02-27,TR,Turkish,1015002629849063974
2020-03-16,TR,No-Visa,3674577854594190067
2020-03-04,TR,Turkish,2754082757674560720
2020-03-13,TR,Turkish,6208874323728625158
2020-03-12,TR,Turkish,6208874323728625158
2020-03-19,TR,Turkish,2774087127329728491
2020-03-10,TR,No-Visa,-5527590132507033705
2020-03-11,TR,No-Visa,-7526427084354563322
2020-03-12,TR,Turkish,6824463563539586731
2020-03-21,TR,Turkish,-3819798521038953835
2020-03-02,TR,Turkish,-8320645139639782690
2020-02-25,TR,Turkish,-2229851483891437567
2020-03-23,TR,Turkish,-5966539876048397004
2020-03-13,TR,Turkish,2922739340592053524
2020-03-18,TR,Turkish,-3787536196897550962
2020-03-16,TR,Turkish,-6203803833458685467
2020-03-15,TR,Turkish,-8204015589572900099
2020-03-22,TR,Turkish,1934163055612723964
2020-03-25,TR,Turkish,706216903385378226
2020-02-25,TR,Turkish,-4088874232569382599
2020-03-20,TR,Turkish,-5108437566085750892
2020-02-27,TR,Turkish,-5739441086985210201
2020-03-25,TR,Turkish,-4690962974109498761
2020-03-07,TR,Turkish,6174596491853659698
2020-02-29,TR,Turkish,-4569220861697334793
2020-03-07,TR,Turkish,6887283534358422186
2020-03-05,TR,Turkish,-4863917203802623137
2020-03-08,TR,Turkish,2277342788785948835
2020-03-04,TR,Turkish,2477525452179934149
2020-03-04,TR,Turkish,1015002629849063974
2020-03-12,TR,Turkish,-4416218875113339359
2020-03-13,TR,Turkish,5061168377432824687
2020-03-20,TR,Turkish,-4416218875113339359
2020-03-23,TR,Turkish,3419684682731796089
2020-03-21,TR,Turkish,-1752020288129226618
2020-02-26,TR,Turkish,-7434135437647246272
2020-03-05,TR,Turkish,-8949103213623605557
2020-02-28,TR,Visa,-8320645139639782690
2020-03-23,TR,Turkish,1496807383468844132
2020-03-22,TR,No-Visa,8384341492190708669
2020-02-28,TR,Turkish,6554705019868228702
2020-03-16,TR,Turkish,5034066010306148842
2020-03-22,TR,Turkish,-5839694710380008391
2020-03-05,TR,Turkish,-4789133864086473055
2020-03-07,TR,Turkish,-6209353425453261605
2020-02-27,TR,Turkish,-2798342668973394942
2020-02-25,TR,No-Visa,-6319491953879574746
2020-03-12,TR,Turkish,-8643543722950424142
2020-03-15,TR,Turkish,-2228583151645913804
2020-03-20,TR,Turkish,-7144284901672150858
2020-02-25,TR,Turkish,-7070621667564331986
2020-03-25,TR,Turkish,-2088261597947565930
2020-03-06,TR,Turkish,2477525452179934149
2020-02-25,TR,Turkish,2369543872572943598
2020-03-16,TR,Turkish,-1412081331140519175
2020-03-17,TR,Turkish,5034066010306148842
2020-02-28,TR,Turkish,-1675992159736272779
2020-03-07,TR,No-Visa,-4458977566434858364
2020-03-10,TR,Turkish,-7572230375650529696
2020-03-03,TR,Turkish,5489234009877063902
2020-03-22,TR,Turkish,1496920708516592748
2020-03-24,TR,Turkish,-2244555791790776325
2020-03-19,TR,Turkish,-756592240344121012
2020-03-10,TR,Turkish,-8891136151500530445
2020-03-03,TR,Turkish,1725550495439318354
2020-03-03,TR,Turkish,8319657213847729704
2020-03-18,TR,Turkish,1084118920829185380
2020-03-18,TR,Turkish,3505280245393320977
2020-03-06,TR,Turkish,6518639481689226184
2020-02-25,TR,Turkish,-2798342668973394942
2020-03-19,TR,Turkish,-6158962002306695578
2020-03-25,TR,Turkish,9219591017400512091
2020-03-25,TR,Turkish,-6659957290157579834
2020-03-21,TR,Turkish,1319172811945414811
2020-02-26,TR,Turkish,3621927917635233890
2020-03-23,TR,Turkish,-1752020288129226618
2020-03-02,TR,Turkish,-2020240127839539969
2020-03-21,TR,Turkish,-5479374298139910785
2020-02-29,TR,Turkish,6853552694462116736
2020-03-10,TR,Turkish,5489234009877063902
2020-03-09,TR,Turkish,161247311316960293
2020-03-15,TR,Turkish,-7683596990528341576
2020-03-05,TR,Turkish,1496807383468844132
2020-03-18,TR,Turkish,-5663199171354287656
2020-03-23,TR,Turkish,3831968107829539593
2020-03-09,TR,Turkish,-8949103213623605557
2020-03-22,TR,Turkish,-5479374298139910785
2020-03-13,TR,Turkish,-7251356304174900239
2020-03-07,TR,Turkish,928688105815012890
2020-03-07,TR,Turkish,-6209353425453261605
2020-03-14,TR,Turkish,-8858619544489643571
2020-03-18,TR,Turkish,8417273452464074456
2020-02-27,TR,No-Visa,2754082757674560720
2020-03-01,TR,Turkish,480853101366231018
2020-03-15,TR,Turkish,2288228141098364254
2020-03-25,TR,Turkish,-7686701337848847412
2020-03-11,TR,Turkish,7137066854604271217
2020-03-03,TR,Turkish,-1752020288129226618
2020-03-16,TR,Turkish,2713093983116921285
2020-03-10,TR,Turkish,-833961259918333065
2020-03-03,TR,Turkish,161247311316960293
2020-03-16,TR,Turkish,-5910887736713640753
2020-03-23,TR,Turkish,1496920708516592748
2020-03-22,TR,Turkish,4325212832331580390
2020-02-28,TR,Turkish,8610491762719167087
2020-03-07,TR,Turkish,-1731686073918699064
2020-03-13,TR,Turkish,1031120798069833108
2020-03-11,TR,Turkish,4998743689765103311
2020-03-25,TR,Turkish,1496920708516592748
2020-03-24,TR,Turkish,-4360594725107611715
2020-03-16,TR,Turkish,-2437266801443379448
2020-02-29,TR,Turkish,378186429320050920
2020-03-18,TR,Turkish,-7009722449912144542
2020-03-20,TR,Turkish,409439214832651080
2020-03-03,TR,Turkish,6010753877235628562
2020-02-27,TR,Turkish,8164379656281551476
2020-03-22,TR,Turkish,2477525452179934149
2020-03-11,TR,Turkish,-8949103213623605557
2020-03-03,TR,Turkish,1270817126074526470
2020-03-25,TR,Turkish,-7342046511112118317
