,city,date,No-Visa,Visa,Group
0,ADANA,2020-02-28,3.0,364.0,Other cities
1,ADANA,2020-02-29,3.0,259.0,Other cities
2,ADANA,2020-03-01,2.0,199.0,Other cities
3,ADANA,2020-03-02,2.0,186.0,Other cities
4,ADANA,2020-03-03,2.0,137.0,Other cities
5,ADANA,2020-03-04,2.0,139.0,Other cities
6,ADANA,2020-03-05,3.0,131.0,Other cities
7,ADANA,2020-03-06,3.0,127.0,Other cities
8,ADANA,2020-03-07,2.0,161.0,Other cities
9,ADANA,2020-03-08,2.0,180.0,Other cities
10,ADANA,2020-03-09,2.0,197.0,Other cities
11,ADANA,2020-03-10,2.0,181.0,Other cities
12,ADANA,2020-03-11,2.0,231.0,Other cities
13,ADANA,2020-03-12,2.0,228.0,Other cities
14,ADANA,2020-03-13,2.0,243.0,Other cities
15,ADANA,2020-03-14,2.0,249.0,Other cities
16,ADANA,2020-03-15,2.0,258.0,Other cities
17,ADANA,2020-03-16,2.0,266.0,Other cities
18,ADANA,2020-03-17,2.0,261.0,Other cities
19,ADANA,2020-03-18,1.0,273.0,Other cities
20,ADANA,2020-03-19,1.0,285.0,Other cities
21,ADANA,2020-03-20,1.0,284.0,Other cities
22,ADANA,2020-03-21,1.0,289.0,Other cities
23,ADANA,2020-03-22,1.0,291.0,Other cities
24,ADANA,2020-03-23,1.0,297.0,Other cities
25,ADANA,2020-03-24,2.0,291.0,Other cities
26,ADANA,2020-03-25,1.0,294.0,Other cities
27,ADANA,2020-03-26,1.0,302.0,Other cities
28,ADANA,2020-03-27,1.0,314.0,Other cities
29,ADANA,2020-03-28,1.0,330.0,Other cities
30,ADANA,2020-03-29,1.0,313.0,Other cities
31,ADANA,2020-03-30,0.0,314.0,Other cities
32,ADANA,2020-03-31,0.0,313.0,Other cities
33,ADANA,2020-04-01,0.0,325.0,Other cities
34,ADANA,2020-04-02,1.0,320.0,Other cities
35,ADANA,2020-04-03,1.0,320.0,Other cities
36,ADANA,2020-04-04,1.0,319.0,Other cities
37,ADANA,2020-04-05,0.0,332.0,Other cities
38,ADANA,2020-04-06,1.0,334.0,Other cities
39,ADANA,2020-04-07,0.0,334.0,Other cities
40,ADANA,2020-04-08,0.0,337.0,Other cities
41,ADANA,2020-04-09,0.0,340.0,Other cities
42,ADANA,2020-04-10,0.0,340.0,Other cities
43,ADANA,2020-04-11,0.0,338.0,Other cities
44,ADANA,2020-04-12,0.0,331.0,Other cities
45,ADANA,2020-04-13,0.0,333.0,Other cities
46,ADANA,2020-04-14,0.0,323.0,Other cities
47,ADANA,2020-04-15,0.0,325.0,Other cities
48,ADANA,2020-04-16,0.0,331.0,Other cities
49,ADANA,2020-04-17,0.0,341.0,Other cities
50,ADANA,2020-04-18,0.0,336.0,Other cities
51,ADANA,2020-04-19,0.0,335.0,Other cities
52,ADANA,2020-04-20,0.0,344.0,Other cities
53,ADANA,2020-04-21,0.0,339.0,Other cities
54,ADANA,2020-04-22,0.0,341.0,Other cities
55,ADANA,2020-04-23,0.0,338.0,Other cities
56,ADANA,2020-04-24,1.0,337.0,Other cities
57,ADANA,2020-04-25,0.0,338.0,Other cities
58,ADANA,2020-04-26,0.0,338.0,Other cities
59,ADANA,2020-04-27,0.0,337.0,Other cities
60,ADANA,2020-04-28,0.0,344.0,Other cities
61,ADANA,2020-04-29,0.0,344.0,Other cities
62,ADANA,2020-04-30,0.0,336.0,Other cities
63,ADANA,2020-05-01,0.0,336.0,Other cities
64,ADANA,2020-05-02,0.0,339.0,Other cities
65,ADANA,2020-05-03,1.0,337.0,Other cities
66,ADANA,2020-05-04,0.0,339.0,Other cities
67,ADANA,2020-05-05,0.0,342.0,Other cities
68,ADANA,2020-05-06,3.0,339.0,Other cities
69,ADANA,2020-05-07,1.0,343.0,Other cities
70,ADANA,2020-05-08,2.0,347.0,Other cities
71,ADANA,2020-05-09,1.0,343.0,Other cities
72,ADANA,2020-05-10,1.0,344.0,Other cities
73,ADANA,2020-05-11,1.0,349.0,Other cities
74,ADANA,2020-05-12,0.0,351.0,Other cities
